wave_dt,version,item_index,category,dominant_subsystem,n_annotated_commits,n_matched_commits,n_files,lines_added,lines_deleted,touches_tests,docs_only
2023-05-11,15.3,37,Crash & corruption,core_server,6,2,5,332,134,1,0
2023-05-11,15.3,38,Crash & corruption,core_server,6,2,4,65,7,1,0
2023-05-11,15.3,39,Crash & corruption,core_server,6,2,3,60,4,1,0
2023-05-11,15.3,40,Build & platform,core_server,6,2,3,130,84,1,0
2023-05-11,15.3,41,Crash & corruption,core_server,11,4,1,31,18,0,0
2023-05-11,15.3,42,Replication & recovery,replication_recovery,6,2,1,22,4,0,0
2023-05-11,15.3,43,Other functionality,core_server,4,2,1,3,2,0,0
2023-05-11,15.3,44,Other functionality,core_server,3,2,1,7,0,0,0
2023-05-11,15.3,45,Crash & corruption,core_server,3,2,3,15,2,1,0
2023-05-11,15.3,46,Crash & corruption,core_server,6,2,1,13,4,0,0
2023-05-11,15.3,47,Replication & recovery,core_server,11,4,2,16,5,1,0
2023-05-11,15.3,48,Other functionality,core_server,4,2,1,1,1,0,0
2023-05-11,15.3,49,Other functionality,replication_recovery,3,2,1,2,0,0,0
2023-05-11,15.3,50,Replication & recovery,replication_recovery,4,2,1,1,1,0,0
2023-05-11,15.3,51,Replication & recovery,core_server,2,2,3,51,6,0,0
2023-05-11,15.3,52,Client tools,build_platform,6,2,15,148,11,1,0
2023-05-11,15.3,53,Crash & corruption,core_server,18,6,1,0,5,0,0
2023-05-11,15.3,54,Other functionality,core_server,2,2,1,3,3,0,0
2023-05-11,15.3,55,Other functionality,core_server,6,2,3,14,0,0,0
2023-05-11,15.3,56,Wrong results & planner,core_server,6,2,1,33,20,0,0
2023-05-11,15.3,57,Crash & corruption,core_server,2,2,3,31,3,1,0
2023-05-11,15.3,58,Crash & corruption,replication_recovery,6,2,2,22,2,0,0
2023-05-11,15.3,59,Crash & corruption,core_server,6,2,1,10,3,0,0
2023-05-11,15.3,60,Crash & corruption,replication_recovery,6,2,1,4,0,0,0
2023-05-11,15.3,61,Crash & corruption,extensions_contrib,5,2,2,65,30,0,0
2023-05-11,15.3,62,Crash & corruption,extensions_contrib,6,2,3,119,23,0,0
2023-05-11,15.3,63,Crash & corruption,extensions_contrib,12,4,3,212,121,0,0
2023-05-11,15.3,64,Crash & corruption,extensions_contrib,6,2,1,36,18,0,0
2023-05-11,15.3,65,Client tools,client_tools,5,2,1,14,9,0,0
2023-05-11,15.3,66,Crash & corruption,client_tools,7,2,5,310,127,0,0
2023-05-11,15.3,67,Crash & corruption,client_tools,6,2,8,288,52,0,0
2023-05-11,15.3,68,Client tools,core_server,6,4,8,166,22,0,0
2023-05-11,15.3,69,Client tools,client_tools,3,2,2,127,51,0,0
2023-05-11,15.3,70,Extensions & contrib,extensions_contrib,6,4,1,1,2,0,0
2023-05-11,15.3,71,Crash & corruption,extensions_contrib,3,2,2,48,13,0,0
2023-05-11,15.3,72,Extensions & contrib,extensions_contrib,2,2,1,5,0,0,0
2023-05-11,15.3,73,Crash & corruption,extensions_contrib,6,2,3,29,1,0,0
2023-05-11,15.3,74,Crash & corruption,extensions_contrib,4,2,4,27,4,0,0
2023-05-11,15.3,75,Extensions & contrib,extensions_contrib,3,2,5,62,56,0,0
2023-05-11,15.3,76,Crash & corruption,extensions_contrib,6,2,3,25,10,0,0
2023-05-11,15.3,77,Extensions & contrib,extensions_contrib,2,2,1,18,4,0,0
2023-05-11,15.3,78,Extensions & contrib,extensions_contrib,2,2,1,53,5,0,0
2023-05-11,15.3,79,Build & platform,build_platform,6,2,3,3,3,0,0
2023-05-11,15.3,80,Build & platform,docs,6,2,4,70,36,0,1
2023-05-11,15.3,81,Build & platform,other,6,2,1,1,1,0,0
2023-08-10,15.4,0,Security (CVE),core_server,7,2,7,79,15,1,0
2023-08-10,15.4,1,Security (CVE),core_server,3,2,4,152,50,1,0
2023-08-10,15.4,2,Other functionality,core_server,10,2,5,134,8,1,0
2023-08-10,15.4,3,Crash & corruption,client_tools,7,2,20,421,28,1,0
2023-08-10,15.4,4,Crash & corruption,core_server,7,2,3,85,7,1,0
2023-08-10,15.4,5,Other functionality,core_server,5,1,3,58,2,1,0
2023-08-10,15.4,6,Other functionality,core_server,7,2,3,117,4,1,0
2023-08-10,15.4,7,Other functionality,core_server,7,2,3,79,7,1,0
2023-08-10,15.4,8,Other functionality,core_server,1,1,3,76,0,1,0
2023-08-10,15.4,9,Wrong results & planner,planner,5,1,4,36,8,1,0
2023-08-10,15.4,10,Wrong results & planner,planner,4,2,1,17,0,0,0
2023-08-10,15.4,11,Wrong results & planner,planner,7,2,5,78,2,0,0
2023-08-10,15.4,12,Other functionality,core_server,5,1,3,52,1,1,0
2023-08-10,15.4,13,Crash & corruption,core_server,21,6,2,10,3,0,0
2023-08-10,15.4,14,Other functionality,core_server,2,1,7,240,41,1,0
2023-08-10,15.4,15,Other functionality,planner,4,1,3,60,1,1,0
2023-08-10,15.4,16,Crash & corruption,core_server,5,1,3,31,12,1,0
2023-08-10,15.4,17,Crash & corruption,core_server,9,3,1,32,1,0,0
2023-08-10,15.4,18,Crash & corruption,core_server,5,2,1,0,7,0,0
2023-08-10,15.4,19,Other functionality,core_server,3,1,3,31,4,1,0
2023-08-10,15.4,20,Crash & corruption,core_server,5,1,1,15,0,0,0
2023-08-10,15.4,21,Other functionality,core_server,7,2,1,26,48,0,0
2023-08-10,15.4,22,Other functionality,core_server,1,1,1,1,0,0,0
2023-08-10,15.4,23,Build & platform,core_server,7,2,1,2,0,0,0
2023-08-10,15.4,24,Crash & corruption,core_server,5,2,1,3,1,0,0
2023-08-10,15.4,25,Replication & recovery,core_server,3,2,2,26,6,1,0
2023-08-10,15.4,26,Other functionality,core_server,7,2,1,43,22,0,0
2023-08-10,15.4,27,Crash & corruption,core_server,10,2,1,16,7,0,0
2023-08-10,15.4,28,Crash & corruption,core_server,7,2,1,4,0,0,0
2023-08-10,15.4,29,Crash & corruption,replication_recovery,14,4,1,5,5,0,0
2023-08-10,15.4,30,Crash & corruption,core_server,7,2,1,3,0,0,0
2023-08-10,15.4,31,Crash & corruption,core_server,7,2,1,2,0,0,0
2023-08-10,15.4,32,Replication & recovery,replication_recovery,3,2,1,4,8,0,0
2023-08-10,15.4,33,Crash & corruption,core_server,6,2,1,2,1,0,0
2023-08-10,15.4,34,Crash & corruption,core_server,5,1,3,22,1,1,0
2023-08-10,15.4,35,Crash & corruption,core_server,1,1,6,118,4,1,0
2023-08-10,15.4,36,Extensions & contrib,extensions_contrib,5,1,3,15,7,0,0
2023-08-10,15.4,37,Extensions & contrib,extensions_contrib,5,1,5,69,5,0,0
2023-08-10,15.4,38,Crash & corruption,extensions_contrib,5,1,3,12,4,0,0
2023-08-10,15.4,39,Extensions & contrib,extensions_contrib,7,2,1,0,3,0,0
2023-08-10,15.4,40,Crash & corruption,extensions_contrib,2,1,6,178,31,0,0
2023-08-10,15.4,41,Client tools,client_tools,1,1,2,26,19,0,0
2023-08-10,15.4,42,Client tools,client_tools,2,1,4,89,1,0,0
2023-08-10,15.4,43,Client tools,client_tools,1,1,1,4,4,0,0
2023-08-10,15.4,44,Crash & corruption,client_tools,1,1,2,28,18,0,0
2023-08-10,15.4,45,Other functionality,core_server,7,2,1,1,0,0,0
2023-08-10,15.4,46,Other functionality,build_platform,1,1,1,4,5,0,0
2023-11-09,15.5,0,Security (CVE),core_server,7,3,3,33,12,1,0
2023-11-09,15.5,1,Security (CVE),core_server,7,3,5,110,24,1,0
2023-11-09,15.5,2,Security (CVE),core_server,14,6,3,40,2,1,0
2023-11-09,15.5,3,Wrong results & planner,extensions_contrib,6,3,3,226,80,0,0
2023-11-09,15.5,4,Wrong results & planner,core_server,5,3,5,16,6,1,0
2023-11-09,15.5,5,Other functionality,core_server,4,3,3,44,1,1,0
