dim_release_key,release_dt,category,category_order,is_out_of_band,fix_cnt,fix_share
7fdb94d944fa9b4ec8f39e9170f26ece,2022-02-10,"Concurrency, locking & crashes",6,false,8,0.140351
7fdb94d944fa9b4ec8f39e9170f26ece,2022-02-10,"Data types, text & collation",8,false,2,0.035088
7fdb94d944fa9b4ec8f39e9170f26ece,2022-02-10,Execution & correctness,2,false,7,0.122807
7fdb94d944fa9b4ec8f39e9170f26ece,2022-02-10,Extensions & contrib,11,false,1,0.017544
7fdb94d944fa9b4ec8f39e9170f26ece,2022-02-10,Indexes,3,false,3,0.052632
7fdb94d944fa9b4ec8f39e9170f26ece,2022-02-10,"Numeric, overflow & limits",7,false,1,0.017544
7fdb94d944fa9b4ec8f39e9170f26ece,2022-02-10,Partitioning & inheritance,4,false,1,0.017544
7fdb94d944fa9b4ec8f39e9170f26ece,2022-02-10,Planner & optimizer,1,false,6,0.105263
7fdb94d944fa9b4ec8f39e9170f26ece,2022-02-10,Replication & recovery,5,false,9,0.157895
7fdb94d944fa9b4ec8f39e9170f26ece,2022-02-10,"Storage, vacuum & TOAST",13,false,2,0.035088
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,Build & platform,12,false,5,0.072464
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,Client interfaces,10,false,7,0.101449
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,Client tools,9,false,8,0.115942
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,"Concurrency, locking & crashes",6,false,8,0.115942
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,"Data types, text & collation",8,false,7,0.101449
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,Execution & correctness,2,false,14,0.202899
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,Indexes,3,false,3,0.043478
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,"Numeric, overflow & limits",7,false,3,0.043478
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,Partitioning & inheritance,4,false,2,0.028986
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,Planner & optimizer,1,false,7,0.101449
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,Replication & recovery,5,false,2,0.028986
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,"Storage, vacuum & TOAST",13,false,3,0.043478
9690ffbcc2702b682b8b7c44a877583e,2022-05-12,Build & platform,12,false,8,0.156863
9690ffbcc2702b682b8b7c44a877583e,2022-05-12,Client interfaces,10,false,2,0.039216
9690ffbcc2702b682b8b7c44a877583e,2022-05-12,Client tools,9,false,3,0.058824
9690ffbcc2702b682b8b7c44a877583e,2022-05-12,"Concurrency, locking & crashes",6,false,10,0.196078
9690ffbcc2702b682b8b7c44a877583e,2022-05-12,"Data types, text & collation",8,false,3,0.058824
9690ffbcc2702b682b8b7c44a877583e,2022-05-12,Execution & correctness,2,false,5,0.098039
9690ffbcc2702b682b8b7c44a877583e,2022-05-12,Extensions & contrib,11,false,3,0.058824
9690ffbcc2702b682b8b7c44a877583e,2022-05-12,Indexes,3,false,4,0.078431
9690ffbcc2702b682b8b7c44a877583e,2022-05-12,"Numeric, overflow & limits",7,false,2,0.039216
9690ffbcc2702b682b8b7c44a877583e,2022-05-12,Planner & optimizer,1,false,5,0.098039
9690ffbcc2702b682b8b7c44a877583e,2022-05-12,Replication & recovery,5,false,5,0.098039
9690ffbcc2702b682b8b7c44a877583e,2022-05-12,"Storage, vacuum & TOAST",13,false,1,0.019608
9913f136f555e8d180895e7b13f3cc29,2024-11-21,Build & platform,12,true,1,0.125000
9913f136f555e8d180895e7b13f3cc29,2024-11-21,"Concurrency, locking & crashes",6,true,1,0.125000
