wave_dt,contributor,credit_cnt,first_seen_wave_dt,is_first_wave,is_out_of_band
2024-11-14,Tender Wang,3,2024-02-08,false,false
2024-11-14,Thomas Munro,4,2022-11-10,false,false
2024-11-14,Tom Lane,17,2022-11-10,false,false
2024-11-14,Tomas Vondra,1,2023-02-09,false,false
2024-11-14,VaibhaveS,1,2024-11-14,true,false
2024-11-14,Webbo Han,1,2024-11-14,true,false
2024-11-14,Yuto Sasaki,1,2024-11-14,true,false
2024-11-14,with hat tip to Nick Wellnhofer,1,2024-11-14,true,false
2024-11-14,wuchengwen,1,2024-11-14,true,false
2024-11-14,Álvaro Herrera,3,2022-11-10,false,false
2024-11-21,Alexander Korotkov,1,2023-02-09,false,true
2024-11-21,Alexander Kukushkin,1,2024-11-21,true,true
2024-11-21,Kyotaro Horiguchi,1,2023-05-11,false,true
2024-11-21,Masahiko Sawada,1,2022-11-10,false,true
2024-11-21,Masahiro Ikeda,1,2023-11-09,false,true
2024-11-21,Michael Paquier,1,2023-05-11,false,true
2024-11-21,Noah Misch,1,2023-08-10,false,true
2024-11-21,Polina Bungina,1,2024-11-21,true,true
2024-11-21,Tom Lane,3,2022-11-10,false,true
2025-02-13,Alexander Kukushkin,1,2024-11-21,false,false
2025-02-13,Amul Sul,1,2025-02-13,true,false
2025-02-13,Andres Freund,1,2022-11-10,false,false
2025-02-13,Andrew Dunstan,1,2023-02-09,false,false
2025-02-13,Anton Voloshin,1,2025-02-13,true,false
2025-02-13,Bertrand Drouvot,1,2024-05-09,false,false
2025-02-13,Boyu Yang,1,2023-11-09,false,false
2025-02-13,Darek Slusarczyk,1,2025-02-13,true,false
2025-02-13,David Rowley,3,2023-02-09,false,false
2025-02-13,Davinder Singh,1,2025-02-13,true,false
2025-02-13,Dean Rasheed,2,2023-02-09,false,false
2025-02-13,Evgeniy Gorbanyov,1,2025-02-13,true,false
2025-02-13,Fujii Masao,2,2024-11-14,false,false
2025-02-13,Heikki Linnakangas,3,2023-05-11,false,false
2025-02-13,Hou Zhijie,1,2023-02-09,false,false
2025-02-13,Ilyasov Ian,1,2025-02-13,true,false
2025-02-13,James Hunter,1,2025-02-13,true,false
2025-02-13,Jian He,1,2024-11-14,false,false
2025-02-13,John Naylor,2,2025-02-13,true,false
2025-02-13,Karina Litskevich,1,2023-05-11,false,false
2025-02-13,Kirill Reshke,1,2025-02-13,true,false
2025-02-13,Kyotaro Horiguchi,1,2023-05-11,false,false
2025-02-13,Laurenz Albe,1,2023-08-10,false,false
2025-02-13,Man Zeng,1,2025-02-13,true,false
2025-02-13,Masahiko Sawada,2,2022-11-10,false,false
2025-02-13,Mat Arye,1,2025-02-13,true,false
2025-02-13,Matthias van de Meent,2,2022-11-10,false,false
2025-02-13,Michael Paquier,1,2023-05-11,false,false
2025-02-13,Michail Nikolaev,1,2023-02-09,false,false
2025-02-13,Nathan Bossart,2,2022-11-10,false,false
2025-02-13,Noah Misch,4,2023-08-10,false,false
2025-02-13,Peter Eisentraut,3,2022-11-10,false,false
2025-02-13,Peter Geoghegan,1,2023-08-10,false,false
2025-02-13,Richard Guo,1,2022-11-10,false,false
2025-02-13,Robert Haas,1,2022-11-10,false,false
2025-02-13,Ronan Dunklau,1,2024-05-09,false,false
2025-02-13,Ryo Kanbayashi,1,2025-02-13,true,false
2025-02-13,Tatsuo Ishii,1,2025-02-13,true,false
2025-02-13,Thomas Munro,6,2022-11-10,false,false
2025-02-13,Tofig Aliev,1,2025-02-13,true,false
2025-02-13,Tom Lane,22,2022-11-10,false,false
2025-02-13,Tomas Vondra,1,2023-02-09,false,false
2025-02-13,Vallimaharajan G,1,2024-05-09,false,false
2025-02-13,Vignesh C,1,2024-02-08,false,false
2025-02-13,Vladlen Popolitov,1,2025-02-13,true,false
2025-02-13,Yura Sokolov,1,2025-02-13,true,false
2025-02-13,Yushi Ogiwara,1,2025-02-13,true,false
2025-02-13,Álvaro Herrera,2,2022-11-10,false,false
2025-02-20,Andres Freund,1,2022-11-10,false,true
2025-02-20,Nazir Bilal Yavuz,1,2023-11-09,false,true
2025-02-20,Ranier Vilela,1,2023-11-09,false,true
2025-02-20,Tom Lane,1,2022-11-10,false,true
2025-05-08,Alexander Korotkov,1,2023-02-09,false,false
2025-05-08,Alexander Lakhin,1,2023-05-11,false,false
2025-05-08,Alexander Pyhalov,1,2023-05-11,false,false
2025-05-08,Amit Langote,1,2023-02-09,false,false
2025-05-08,Andrei Lepikhov,1,2024-02-08,false,false
2025-05-08,Andres Freund,2,2022-11-10,false,false
2025-05-08,Bertrand Drouvot,1,2024-05-09,false,false
2025-05-08,Bruce Momjian,1,2024-05-09,false,false
2025-05-08,Daniel Gustafsson,1,2023-02-09,false,false
2025-05-08,David Geier,1,2025-05-08,true,false
2025-05-08,David Rowley,1,2023-02-09,false,false
2025-05-08,David Steele,1,2025-05-08,true,false
2025-05-08,Dmitry Kovalenko,1,2025-05-08,true,false
2025-05-08,Hayato Kuroda,2,2024-11-14,false,false
2025-05-08,Heikki Linnakangas,4,2023-05-11,false,false
2025-05-08,Hou Zhijie,1,2023-02-09,false,false
2025-05-08,Jacob Brazeal,1,2025-05-08,true,false
2025-05-08,Jian He,3,2024-11-14,false,false
2025-05-08,Jim Jones,1,2024-11-14,false,false
2025-05-08,John Naylor,1,2025-02-13,false,false
2025-05-08,Kevin K Biju,1,2025-05-08,true,false
2025-05-08,Maksim Korotkov,1,2025-05-08,true,false
2025-05-08,Masahiko Sawada,3,2022-11-10,false,false
2025-05-08,Matthias van de Meent,1,2022-11-10,false,false
2025-05-08,Melnikov Maksim,1,2025-05-08,true,false
2025-05-08,Michael Paquier,3,2023-05-11,false,false
2025-05-08,Noah Misch,3,2023-08-10,false,false
2025-05-08,Peter Eisentraut,1,2022-11-10,false,false
2025-05-08,Ranier Vilela,1,2023-11-09,false,false
2025-05-08,Richard Guo,3,2022-11-10,false,false
2025-05-08,Shlok Kyal,3,2024-02-08,false,false
2025-05-08,Tender Wang,3,2024-02-08,false,false
2025-05-08,Thomas Munro,2,2022-11-10,false,false
2025-05-08,Tom Lane,13,2022-11-10,false,false
2025-05-08,Tomas Vondra,2,2023-02-09,false,false
2025-05-08,Vinod Sridharan,1,2025-05-08,true,false
2025-05-08,Zhijie Hou,1,2025-05-08,true,false
2025-05-08,Álvaro Herrera,3,2022-11-10,false,false
2025-08-14,Ajin Cherian,1,2025-08-14,true,false
2025-08-14,Aleksander Alekseev,1,2023-05-11,false,false
2025-08-14,Alexander Korotkov,1,2023-02-09,false,false
2025-08-14,Alexey Makhmutov,1,2025-08-14,true,false
2025-08-14,Ali Akbar,1,2025-08-14,true,false
2025-08-14,Andreas Karlsson,1,2025-08-14,true,false
2025-08-14,Andy Fan,1,2025-08-14,true,false
2025-08-14,Atsushi Torikoshi,1,2025-08-14,true,false
2025-08-14,Bertrand Drouvot,1,2024-05-09,false,false
2025-08-14,Christoph Berg,1,2025-08-14,true,false
2025-08-14,Daniele Varrazzo,1,2025-08-14,true,false
2025-08-14,Daniil Davydov,1,2025-08-14,true,false
2025-08-14,Daria Shanina,1,2025-08-14,true,false
2025-08-14,Dean Rasheed,3,2023-02-09,false,false
2025-08-14,Dilip Kumar,1,2025-08-14,true,false
2025-08-14,Dipesh Dhameliya,1,2025-08-14,true,false
2025-08-14,Dmitry Kovalenko,1,2025-05-08,false,false
2025-08-14,Erik Wienhold,1,2024-05-09,false,false
2025-08-14,Ethan Mertz,1,2025-08-14,true,false
2025-08-14,Etsuro Fujita,2,2023-02-09,false,false
2025-08-14,Fujii Masao,3,2024-11-14,false,false
2025-08-14,Hayato Kuroda,1,2024-11-14,false,false
2025-08-14,Heikki Linnakangas,1,2023-05-11,false,false
2025-08-14,Jacob Champion,1,2023-02-09,false,false
2025-08-14,Jian He,3,2024-11-14,false,false
2025-08-14,John Naylor,1,2025-02-13,false,false
2025-08-14,Kevin K Biju,1,2025-05-08,false,false
2025-08-14,Laurenz Albe,1,2023-08-10,false,false
2025-08-14,Lukas Fittl,1,2025-08-14,true,false
2025-08-14,Masahiko Sawada,1,2022-11-10,false,false
2025-08-14,Masahiro Ikeda,1,2023-11-09,false,false
2025-08-14,Michael Banck,1,2025-08-14,true,false
2025-08-14,Michael Paquier,5,2023-05-11,false,false
2025-08-14,Mikhail Gribkov,1,2025-08-14,true,false
2025-08-14,Nathan Bossart,4,2022-11-10,false,false
2025-08-14,Noah Misch,2,2023-08-10,false,false
2025-08-14,Pavel Stehule,1,2025-08-14,true,false
2025-08-14,Peter Eisentraut,2,2022-11-10,false,false
2025-08-14,Peter Geoghegan,1,2023-08-10,false,false
2025-08-14,Richard Guo,1,2022-11-10,false,false
2025-08-14,Sami Imseih,1,2024-11-14,false,false
2025-08-14,Samuel Thibault,1,2025-08-14,true,false
2025-08-14,Sergei Kornilov,1,2025-08-14,true,false
2025-08-14,Shlok Kyal,1,2024-02-08,false,false
2025-08-14,Shveta Malik,1,2024-11-14,false,false
2025-08-14,Tom Lane,18,2022-11-10,false,false
2025-08-14,Vignesh C,1,2024-02-08,false,false
2025-08-14,Vitaly Davydov,1,2025-08-14,true,false
2025-08-14,Xuneng Zhou,1,2025-08-14,true,false
2025-08-14,vignesh C,1,2025-08-14,true,false
2025-08-14,Álvaro Herrera,2,2022-11-10,false,false
2025-11-13,Amit Langote,2,2023-02-09,false,false
2025-11-13,Anthonin Bonnefoy,1,2024-02-08,false,false
2025-11-13,Antoine Violin,1,2025-11-13,true,false
2025-11-13,Ashutosh Bapat,1,2025-11-13,true,false
2025-11-13,Ayush Vatsa,1,2024-11-14,false,false
2025-11-13,Bernd Reiß,1,2025-11-13,true,false
2025-11-13,Bertrand Drouvot,1,2024-05-09,false,false
2025-11-13,Bryan Green,1,2025-11-13,true,false
2025-11-13,Daniel Gustafsson,1,2023-02-09,false,false
2025-11-13,David Rowley,6,2023-02-09,false,false
2025-11-13,Dilip Kumar,2,2025-08-14,false,false
2025-11-13,Dmitry Dolgov,1,2023-05-11,false,false
2025-11-13,Emmanuel Sibi,1,2025-11-13,true,false
2025-11-13,Etsuro Fujita,1,2023-02-09,false,false
2025-11-13,Fujii Masao,4,2024-11-14,false,false
2025-11-13,Haiyang Li,2,2025-11-13,true,false
2025-11-13,Hayato Kuroda,2,2024-11-14,false,false
2025-11-13,Holger Hoffstätte,1,2025-11-13,true,false
2025-11-13,Jacob Champion,2,2023-02-09,false,false
2025-11-13,Jeff Davis,2,2023-02-09,false,false
2025-11-13,Jelte Fennema-Nio,1,2023-11-09,false,false
2025-11-13,Jian He,6,2024-11-14,false,false
2025-11-13,Jingtang Zhang,1,2025-11-13,true,false
2025-11-13,Kevin Oommen Anish,1,2025-11-13,true,false
2025-11-13,Kirill Reshke,1,2025-02-13,false,false
2025-11-13,Laurenz Albe,1,2023-08-10,false,false
2025-11-13,Masahiko Sawada,2,2022-11-10,false,false
2025-11-13,Maxime Schoemans,1,2025-11-13,true,false
