bug_number,reporter_person_key,reported_date_key,reported_dt,subject,thread_message_cnt,thread_size_window,is_acted_upon,outcome,linked_via,first_commit_dt,days_to_commit,days_to_commit_window,earliest_ship_release_dt
19412,2ddfefb416c8628de392c652f9a367ee,20260217,2026-02-17,"BUG #19412: Wrong query result with not null constraint",11,4: 11+ messages,true,linked to a fix commit,both,2026-02-20,3,2: within a week,2026-05-14
19413,c4ff1265bea2f571aa475fbb16435524,20260219,2026-02-19,"BUG #19413: ASAN: stack-buffer-overflow in foldcase_options() with invalid ICU language tag",2,2: 2-3 messages,false,no linked commit,,,,,2026-05-14
19414,dbc097758ee8f14feb8c2aae5a0dc0ae,20260219,2026-02-19,"BUG #19414: Wrong rows returned by index scan on HASH-partitioned table with PRIMARY KEY (PostgreSQL 16.9)",5,3: 4-10 messages,false,no linked commit,,,,,2026-05-14
19415,112dc8b04b0b5539eaba68ef00d38085,20260225,2026-02-25,"BUG #19415: Spelling error about 'vacuume' in zh_CN.po",2,2: 2-3 messages,false,no linked commit,,,,,2026-05-14
19416,eaf1749d651b0d0abf807649d675fe3c,20260225,2026-02-25,"BUG #19416: Backend SIGSEGV in ExecShutdownHashJoin/ExecHashTableDetach/dsa_free",4,3: 4-10 messages,false,no linked commit,,,,,2026-05-14
19417,112dc8b04b0b5539eaba68ef00d38085,20260226,2026-02-26,"BUG #19417: '\dD' fails to list user-defined domains that shadow built-in type names (e.g., 'numeric')",5,3: 4-10 messages,false,no linked commit,,,,,2026-05-14
19418,eb96efa7a5664ba1c4ebf586abd4121f,20260226,2026-02-26,"BUG #19418: SQL/JSON JSON_VALUE() does not conform to ISO/IEC 9075-2:2023(E) 6.34 <JSON value constructor>",29,4: 11+ messages,true,linked to a fix commit,both,2026-05-01,64,4: within 6 months,2026-05-14
19419,e2e3acf90ef98a36c8480ddd83b5c8e3,20260226,2026-02-26,"BUG #19419: Cannot create custom functions using python3u",2,2: 2-3 messages,false,no linked commit,,,,,2026-05-14
19420,15eb4f30d0ac36da00e8b5b7af6ce4e7,20260227,2026-02-27,"BUG #19420: Zombie FK exists after partition is detached.",6,3: 4-10 messages,false,no linked commit,,,,,2026-05-14
19421,1f879cd13b75f9f492de248ac648a0ae,20260228,2026-02-28,"BUG #19421: PostgreSQL MERGE Crash: heap_compute_data_size() at heaptuple.c:236",2,2: 2-3 messages,false,no linked commit,,,,,2026-05-14
