bug_number,reported_dt,subject,thread_message_cnt,is_acted_upon,linked_via,first_commit_dt,days_to_commit
17309,2021-12-02,"BUG #17309: Memory consumption",2,false,,,
17311,2021-12-03,"BUG #17311: Google search results: Outdated docs at the top",3,false,,,
17312,2021-12-03,"BUG #17312: MacOS User Account Postgres not deleting.",2,false,,,
17313,2021-12-03,"BUG #17313: Exception by opening and closing connection",1,false,,,
17315,2021-12-04,"BUG #17315: Postgresql needs reinstall after restore",2,false,,,
17318,2021-12-06,"BUG #17318: ERROR: AddressSanitizer: SEGV on unknown address in optimizer",4,true,discussion_link,2022-04-23,138
17320,2021-12-06,"BUG #17320: A SEGV in optimizer",3,true,discussion_link,2022-04-23,138
17321,2021-12-06,"BUG #17321: count(*) on a 1,874,554,883 rows partitioned table takes several minutes.",3,false,,,
17323,2021-12-06,"BUG #17323: test_config_settings during postgres initialization does not read the parameter huge_pages",3,false,,,
17325,2021-12-08,"BUG #17325: Unexpected streaming replication protocol bytes for IDENTIFY_SYSTEM command",2,false,,,
17326,2021-12-08,"BUG #17326: Postgres crashed when pg_reload_conf() with ssl certificate parameters",13,false,,,
17327,2021-12-08,"BUG #17327: Postgres server does not correctly emit error for max_slot_wal_keep_size being breached",7,false,,,
17328,2021-12-08,"BUG #17328: import foreign schema never reports errors",1,false,,,
17329,2021-12-08,"BUG #17329: Aggregate Functions Precision Error",3,false,,,
17330,2021-12-09,"BUG #17330: EXPLAIN hangs and very long query plans",10,false,,,
17331,2021-12-09,"BUG #17331: Minor change in install steps",1,false,,,
17332,2021-12-10,"BUG #17332: Cannot read termcap database",1,false,,,
17333,2021-12-10,"BUG #17333: pgdg postgresql-common pg_upgradecluster duplicate data_directory in configuration file",4,false,,,
17334,2021-12-12,"BUG #17334: Assert failed inside computeDistance() on gist index scanning",5,false,,,
17335,2021-12-13,"BUG #17335: Duplicate result rows in Gather node when ""Suppress Append ... that have a single child"" applied",4,true,bug_ref,2022-01-25,43
17336,2021-12-14,"BUG #17336: logtape sort performance and overflow",2,true,discussion_link,2021-12-14,0
17337,2021-12-14,"BUG #17337: Segmentation fault on updating row with ltree GIST index",2,false,,,
17338,2021-12-16,"BUG #17338: pgaudit ddl audit logging show clear text password when create user mapping",1,false,,,
17339,2021-12-19,"BUG #17339: Assert failed on attempt to detach a sequence concurrently",7,true,discussion_link,2021-12-22,3
17340,2021-12-20,"BUG #17340: Unnest discards rows with empty or null arrays",5,false,,,
17341,2021-12-21,"BUG #17341: The comment of the source code is not correct",2,true,discussion_link,2021-12-22,1
17342,2021-12-21,"BUG #17342: pg_restore with jobs > 1 errors out : a worker process died unexpectedly",3,false,,,
17343,2021-12-24,"BUG #17343: ! at end of password for psql throws error",2,false,,,
17344,2021-12-25,"BUG #17344: Assert failed on queiring async_capable foreign table with inheritance",12,true,both,2022-01-27,33
17345,2021-12-27,"BUG #17345: pg_basebackup stucked for 2 hours before timeout",2,false,,,
17346,2021-12-27,"BUG #17346: pg_upgrade fails with role granted by other role",7,true,discussion_link,2021-12-30,3
17347,2021-12-28,"BUG #17347: pg_upgrade: analyze_new_cluster script analyzes wrong cluster",4,false,,,
17348,2021-12-28,"BUG #17348: Can never install pgsql on Ubuntu",10,false,,,
17349,2021-12-28,"BUG #17349: Function gen_random_uuid duplicates in pgcrypto and core",8,true,discussion_link,2022-09-01,247
17350,2021-12-30,"BUG #17350: GIST TRGM Index is broken when combining with combining INCLUDE with a string function (e.g. lower).",2,true,both,2022-01-01,2
17351,2022-01-01,"BUG #17351: Altering a composite type created for a partitioned table can lead to a crash",3,true,both,2022-01-06,5
17352,2022-01-03,"BUG #17352: Column CHECK regex error",3,false,,,
17354,2022-01-04,"BUG #17354: pg_hba_file_rules always shows verify-ca when auth_method=cert",2,true,bug_ref,2022-01-26,22
17355,2022-01-06,"BUG #17355: Server crashes on ExecReScanForeignScan in postgres_fdw when accessing foreign partition",21,true,both,2022-02-03,28
17356,2022-01-06,"BUG #17356: hunspell-hu dictionary processing error",1,false,,,
17357,2022-01-07,"BUG #17357: When working with the window_function, the Where Clause does not work properly!",2,false,,,
17358,2022-01-07,"BUG #17358: While using --with-uuid=bsd option, uuid_ossp test fails on NetBSD 9.2",13,true,discussion_link,2022-09-09,245
17360,2022-01-10,"BUG #17360: array_to_string should be immutable instead of stable",7,false,,,
17361,2022-01-10,"BUG #17361: Unique index constraint inconsistence",4,false,,,
17362,2022-01-11,"BUG #17362: Error ""could not find block containing chunk"" when using index with icu collation on CentOS 7",8,false,,,
17363,2022-01-11,"BUG #17363: 14 regression: ""could not identify a hash function for type record"" in a nested record in sublink",3,true,both,2022-01-16,5
17364,2022-01-12,"BUG #17364: Errors caused by views",2,false,,,
17365,2022-01-13,"BUG #17365: Error: redefinition of 'stat' in win32_port.h when including postgres.h",7,false,,,
17366,2022-01-14,"BUG #17366: Error result returned in timestamp2timestamptz, expected to be off by one hour",3,false,,,
17368,2022-01-15,"BUG #17368: Assert failed in GetSafeSnapshot() for SERIALIZABLE READ ONLY DEFERRABLE transaction",12,true,bug_ref,2023-03-09,418
17369,2022-01-18,"BUG #17369: tmp files didn't deleted after oom killer killed process",2,false,,,
17370,2022-01-19,"BUG #17370: shmem lost on segfault",4,false,,,
17371,2022-01-19,"BUG #17371: Immutable INTERVAL to TEXT cast can cause incorrect query results",2,true,both,2022-01-19,0
17372,2022-01-20,"BUG #17372: Altering statistics during concurrent drop can lead to a server crash",3,true,discussion_link,2022-01-23,3
17373,2022-01-20,"BUG #17373: Missing rhel-8.3-x86_64 yum repository dir for postgresql 14",2,false,,,
17374,2022-01-20,"BUG #17374: Bug in restore",2,false,,,
17375,2022-01-20,"BUG #17375: RECOVERY TARGET TIME RESTORE IS FAILING TO START SERVER",8,false,,,
17376,2022-01-21,"BUG #17376: Adding unique column with a function() default results in ""could not read block 0 in file"" error",6,false,,,
17377,2022-01-22,"BUG #17377: only superusers can query or manipulate replication origins",2,false,,,
17378,2022-01-23,"BUG #17378: WRONG VALUE ON - A.2. Time Zones",2,false,,,
