month_dt,origin,commit_cnt,ai_commit_cnt,cited_thread_cnt
2024-12-01,pgsql-bugs,14,0,14
2024-12-01,pgsql-hackers,154,0,118
2024-12-01,unknown_or_internal_not_security,24,0,7
2025-01-01,pgsql-bugs,12,0,9
2025-01-01,pgsql-hackers,180,0,135
2025-01-01,unknown_or_internal_not_security,25,0,4
2025-02-01,pgsql-bugs,6,0,4
2025-02-01,pgsql-hackers,199,0,145
2025-02-01,unknown_or_internal_not_security,36,0,15
2025-02-01,unknown_or_internal_security,7,0,0
2025-03-01,pgsql-bugs,17,0,16
2025-03-01,pgsql-hackers,288,0,227
2025-03-01,unknown_or_internal_not_security,57,0,15
2025-04-01,pgsql-bugs,18,0,18
2025-04-01,pgsql-hackers,205,0,188
2025-04-01,unknown_or_internal_not_security,97,0,21
2025-05-01,pgsql-bugs,12,0,12
2025-05-01,pgsql-hackers,104,0,97
2025-05-01,unknown_or_internal_not_security,27,0,7
2025-05-01,unknown_or_internal_security,2,0,0
2025-06-01,pgsql-bugs,14,0,16
2025-06-01,pgsql-hackers,96,0,85
2025-06-01,unknown_or_internal_not_security,50,0,16
2025-07-01,pgsql-bugs,13,0,12
2025-07-01,pgsql-hackers,176,0,160
2025-07-01,unknown_or_internal_not_security,27,0,17
2025-08-01,pgsql-bugs,12,0,10
2025-08-01,pgsql-hackers,163,0,122
2025-08-01,unknown_or_internal_not_security,21,0,7
2025-08-01,unknown_or_internal_security,3,0,0
2025-09-01,pgsql-bugs,11,0,10
2025-09-01,pgsql-hackers,161,0,133
2025-09-01,unknown_or_internal_not_security,18,0,6
2025-10-01,pgsql-bugs,14,0,14
2025-10-01,pgsql-hackers,201,0,145
2025-10-01,unknown_or_internal_not_security,26,0,8
2025-11-01,pgsql-bugs,12,0,12
2025-11-01,pgsql-hackers,209,0,170
2025-11-01,unknown_or_internal_not_security,37,0,14
2025-11-01,unknown_or_internal_security,2,0,0
2025-12-01,pgsql-bugs,11,0,9
2025-12-01,pgsql-hackers,220,0,170
2025-12-01,unknown_or_internal_not_security,30,0,16
2026-01-01,pgsql-bugs,6,0,6
2026-01-01,pgsql-hackers,211,0,179
2026-01-01,unknown_or_internal_not_security,25,0,10
2026-02-01,pgsql-bugs,9,0,9
2026-02-01,pgsql-hackers,162,0,127
2026-02-01,unknown_or_internal_not_security,14,0,6
2026-02-01,unknown_or_internal_security,12,0,0
2026-03-01,pgsql-bugs,15,0,14
2026-03-01,pgsql-hackers,349,0,257
2026-03-01,unknown_or_internal_not_security,52,0,19
2026-04-01,pgsql-bugs,15,2,14
2026-04-01,pgsql-hackers,283,0,231
2026-04-01,unknown_or_internal_not_security,60,0,19
2026-05-01,pgsql-bugs,8,0,8
2026-05-01,pgsql-hackers,148,0,127
2026-05-01,unknown_or_internal_not_security,23,0,2
2026-05-01,unknown_or_internal_security,23,9,0
2026-06-01,pgsql-bugs,24,0,23
2026-06-01,pgsql-hackers,148,1,133
2026-06-01,unknown_or_internal_not_security,36,0,5
2026-07-01,pgsql-bugs,29,0,26
2026-07-01,pgsql-hackers,251,2,220
2026-07-01,unknown_or_internal_not_security,28,0,18
2026-08-01,pgsql-bugs,31,2,28
2026-08-01,pgsql-hackers,220,6,167
2026-08-01,unknown_or_internal_not_security,32,0,4
2026-08-01,unknown_or_internal_security,33,7,0
2026-09-01,pgsql-bugs,2,0,2
2026-09-01,pgsql-hackers,28,0,27
2026-09-01,unknown_or_internal_not_security,4,0,0
